epoch,train_loss,test_loss,param_count,sizes,pruned,grown,size_0,size_1,size_2,pruned_0,pruned_1,pruned_2,grown_0,grown_1,grown_2
43,8.186748780281051e-06,5.883860001631547e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
44,5.623074413597351e-06,5.114902149216505e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
45,5.104145186487585e-06,4.995667903131107e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
46,5.040717925294302e-06,4.164294219663134e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
47,4.448902148214983e-06,4.556641175440746e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
48,4.158780928264605e-06,4.130752766286605e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
49,4.00227753634681e-06,3.5187260727980173e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
50,3.7903060387179723e-06,3.6335659206088167e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
51,3.537665380463295e-06,3.251486856242991e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
52,3.5657035150506997e-06,2.9362607492657845e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
53,3.0800962502326e-06,3.09572566402494e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
54,2.952159274900623e-06,3.3724943932611494e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
55,3.27108285491704e-06,6.091417286370415e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
56,3.3823944213509092e-06,3.71940474906296e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
57,3.3618774676142493e-06,2.6553943771432386e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
58,2.8337321153230734e-06,4.0359344875469106e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
59,3.0944401607484908e-06,8.258435751486104e-06,5937,"53,53,53","0,0,0","0,0,0",53,53,53,0,0,0,0,0,0
60,3.563151832349831e-06,0.0002676724457414821,4897,"48,48,48","5,5,5","0,0,0",48,48,48,5,5,5,0,0,0
61,0.0006389526579689118,2.6856679731281473e-05,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
62,1.871375563714537e-05,9.061755143193295e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
63,8.064571786962915e-06,7.583092512504663e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
64,6.404137521894881e-06,5.038978171796771e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
65,5.456512211094378e-06,5.5883973764139225e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
66,5.77237805009645e-06,4.8384092369815335e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
67,4.3738399001085785e-06,3.7174242606852205e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
68,4.897362133488059e-06,1.1765400529839098e-05,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
69,6.870446195171098e-06,3.458419234448229e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
70,3.7228347719064915e-06,7.880690776801202e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
71,4.870612693775911e-06,2.877035665733274e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
72,3.957771867862902e-06,1.335233239660738e-05,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
73,9.455263905692845e-06,3.654357547929976e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
74,1.1579958938091294e-05,3.13520409144985e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
75,9.608542434580158e-06,6.447913142619655e-05,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
76,5.123170535080135e-05,5.011557292891666e-05,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
77,1.428112958165002e-05,7.101449533365667e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
78,4.739008008982637e-06,7.716085376159754e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
79,7.981915750133339e-06,6.014132919517579e-06,4897,"48,48,48","0,0,0","0,0,0",48,48,48,0,0,0,0,0,0
80,5.441447827615775e-06,0.0005165785783901811,4137,"44,44,44","4,4,4","0,0,0",44,44,44,4,4,4,0,0,0
81,0.0017110265626804903,5.866962071741e-05,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
82,6.462513853039127e-05,2.544093012693338e-05,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
83,2.1179450930503663e-05,1.356764069350902e-05,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
84,1.2446796476433519e-05,8.1646530488797e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
85,8.438846190983895e-06,6.267755463341018e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
86,6.1658633043407465e-06,4.93153878414887e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
87,5.271471438754816e-06,5.1292563002789394e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
88,4.716013533470686e-06,3.819887320787529e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
89,4.0791481733322146e-06,4.9293520241917575e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
90,3.84913411544403e-06,3.326935146105825e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
91,3.633274370440631e-06,3.4251208671776114e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
92,3.5001679949345998e-06,3.845978553727036e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
93,3.2212705478741553e-06,2.7604656534094827e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
94,3.2925513689406214e-06,7.808106180164032e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
95,3.944359735760372e-06,2.824661736667622e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
96,3.0513980886098578e-06,4.71776282938663e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
97,2.83010764469509e-06,3.6089722052565777e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
98,2.5737975378433476e-06,2.334955092010205e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
99,2.8164418909000233e-06,2.171560349779611e-06,4137,"44,44,44","0,0,0","0,0,0",44,44,44,0,0,0,0,0,0
100,2.608017390593886e-06,0.0032286000540480016,3441,"40,40,40","4,4,4","0,0,0",40,40,40,4,4,4,0,0,0
101,0.0009254476401954889,0.0002076318827457726,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
102,0.00011717461078951601,6.224162300350145e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
103,5.172212582547218e-05,6.967873085523024e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
104,4.399146613432095e-05,3.356543244444765e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
105,3.236436226143269e-05,2.824166536447592e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
106,2.7912429778371006e-05,6.75474142190069e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
107,2.8375682075420628e-05,3.1697057682322336e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
108,2.2788088956440334e-05,3.170087399485056e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
109,2.7179393783444537e-05,4.83673308044672e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
110,2.595838673878461e-05,3.08099900430534e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
111,2.3585706838639454e-05,1.8915755645139144e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
112,1.22108180396026e-05,1.0975583267281764e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
113,1.5402774383983342e-05,1.8983835601829925e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
114,1.8778757748077625e-05,5.7313498720759526e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
115,2.2565293349907735e-05,8.492644282523543e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
116,1.7218145448714494e-05,8.380480768391862e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
117,3.865783566579921e-05,9.47037040896248e-06,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
118,1.0555170071893371e-05,7.659663853701203e-06,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
119,1.0250160750001668e-05,1.0068582101666835e-05,3441,"40,40,40","0,0,0","0,0,0",40,40,40,0,0,0,0,0,0
120,1.1202061132644303e-05,0.007169872805476188,2809,"36,36,36","4,4,4","0,0,0",36,36,36,4,4,4,0,0,0
121,0.0015382697345688939,0.0008588685668073594,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
122,0.000468915484752506,0.00029433799628168344,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
123,0.00020566258979961275,0.00022349446406587958,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
124,0.00015808644397184252,8.35244976915419e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
125,7.810929066617973e-05,0.00012608990317676216,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
126,7.022190772695467e-05,4.661088704597205e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
127,4.312523587141186e-05,3.7318655828130434e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
128,3.717733909143135e-05,0.00012978331523481757,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
129,4.8182600320433264e-05,2.9789649808662945e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
130,2.8754518192727117e-05,2.7010637320927343e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
131,3.057949162321165e-05,9.424803563160822e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
132,3.5601490555563944e-05,2.5661860534455628e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
133,2.7810508431866764e-05,2.2556833690032362e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
134,2.385264158656355e-05,2.22609977790853e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
135,2.6022214657859876e-05,2.523992747592274e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
136,2.4994124463410117e-05,2.109605631267186e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
137,2.189601626014337e-05,6.628170047770255e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
138,3.661580118350685e-05,2.6488813033211046e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
139,2.6324954896699636e-05,7.80319592449814e-05,2809,"36,36,36","0,0,0","0,0,0",36,36,36,0,0,0,0,0,0
140,2.408424074528739e-05,0.013993802890181541,2377,"33,33,33","3,3,3","0,0,0",33,33,33,3,3,3,0,0,0
141,0.0021791462483815847,0.0005779360011219978,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
142,0.000398358908155933,0.0002926676312927157,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
143,0.0002308807793306187,0.00017160071549005807,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
144,0.0001687228747876361,0.00019053967343643307,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
145,0.00012770232767798006,0.00017125840717926622,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
146,9.705255520821083e-05,9.298272687010467e-05,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
147,0.00010677526524523273,0.00037679482949897646,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
148,0.00012037277394410922,0.00014732271048706024,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
149,8.60825648996979e-05,5.995166022330523e-05,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
150,6.566405182820744e-05,0.0003455327968113124,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
151,0.0001124866233440116,7.346486090682447e-05,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
152,6.220226747682319e-05,7.410273794084788e-05,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
153,6.385224383557215e-05,4.0748112049186603e-05,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
154,4.66476263536606e-05,3.832755069015548e-05,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
155,5.584043423295953e-05,5.862447840627283e-05,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
156,5.120895414147526e-05,5.1165212324121964e-05,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
157,4.2779392324155196e-05,3.221447727992199e-05,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
158,4.010133525589481e-05,0.00013289082585833968,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
159,4.4413560070097447e-05,2.893175050849095e-05,2377,"33,33,33","0,0,0","0,0,0",33,33,33,0,0,0,0,0,0
160,3.719228331465274e-05,0.01609371419996023,1981,"30,30,30","3,3,3","0,0,0",30,30,30,3,3,3,0,0,0
161,0.0023802962894085796,0.0006419199584051967,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
162,0.0004260343734640628,0.0002225447348318994,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
163,0.00021339368815533817,0.00014514752780087292,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
164,0.0001459694900084287,0.00017335019644815474,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
165,0.00013591770569328218,0.00014151395834051072,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
166,0.00010527972856070846,8.881645952351391e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
167,9.884028530213982e-05,0.00015028933552093803,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
168,7.201233878731728e-05,5.079381432733499e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
169,5.5724644329893636e-05,4.3582109676208345e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
170,4.713273524539545e-05,5.7129654189338905e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
171,4.107239419245161e-05,4.383004625560716e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
172,3.744188016862608e-05,4.399205412482843e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
173,3.563128621317446e-05,2.798621216788888e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
174,2.8181515180040152e-05,4.7074013302335514e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
175,3.0225939716910944e-05,3.3487087464891374e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
176,2.430697464442346e-05,1.943891814153176e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
177,2.3115298322227318e-05,1.9845327755319887e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
178,2.1919535932829604e-05,3.8390237401472406e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
179,3.291157341445796e-05,5.2890570426825434e-05,1981,"30,30,30","0,0,0","0,0,0",30,30,30,0,0,0,0,0,0
180,2.3756617368781007e-05,0.06096760305762291,1621,"27,27,27","3,3,3","0,0,0",27,27,27,3,3,3,0,0,0
181,0.006287730727950111,0.0007025229730643332,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
182,0.0003987885589711368,0.00020440201833844186,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
183,0.0001614573634462431,8.459196583135053e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
184,8.769509660487528e-05,6.495643564267084e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
185,6.800195648684166e-05,5.364561517490074e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
186,6.1027745733736085e-05,4.547650378663093e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
187,5.126127232797444e-05,4.523980809608474e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
188,4.791970078076701e-05,3.92996063164901e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
189,4.623174845473841e-05,5.493967758957297e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
190,4.410805303486995e-05,4.38967494701501e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
191,4.0840800281148406e-05,3.191220833105035e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
192,3.6503009701846164e-05,2.9136090524843894e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
193,3.487553623272106e-05,3.841503552393988e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
194,3.227003475185484e-05,6.02037736098282e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
195,3.274284346261993e-05,4.594097525114193e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
196,3.4774518210906535e-05,2.1987453292240387e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
197,2.6839479981572366e-05,7.398572098463773e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
198,3.104506118543213e-05,3.121288305555936e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
199,2.3557022873137613e-05,2.5414687639568002e-05,1621,"27,27,27","0,0,0","0,0,0",27,27,27,0,0,0,0,0,0
200,2.6183200540253894e-05,0.06739840415120125,1401,"25,25,25","2,2,2","0,0,0",25,25,25,2,2,2,0,0,0
201,0.007302133866213262,0.0006181844163220375,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
202,0.0003073840597644448,0.0001392544450936839,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
203,0.00011516016420791857,6.846405283431522e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
204,7.123461592709645e-05,5.122325850243215e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
205,5.3900539386086166e-05,4.0426550578558814e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
206,4.282847656431841e-05,3.2206347153987736e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
207,3.4789950359845536e-05,2.8834687545895575e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
208,3.127993945963681e-05,3.208609001012519e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
209,2.8676101894234306e-05,2.4363538876059464e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
210,2.558701884408947e-05,2.2355040928232485e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
211,2.376493780175224e-05,2.1358974248869344e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
212,2.1746718848589806e-05,1.8506414504372515e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
213,2.1816674538422374e-05,2.087780307920184e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
214,1.9795826775953173e-05,1.638160671427613e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
215,1.903896612348035e-05,1.6506596919498406e-05,1401,"25,25,25","0,0,0","0,0,0",25,25,25,0,0,0,0,0,0
