epoch,train_loss,test_loss,param_count,sizes,pruned,grown,size_0,size_1,size_2,pruned_0,pruned_1,pruned_2,grown_0,grown_1,grown_2
49,5.7320100655488205e-06,5.134059272677405e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
50,5.1349223795114086e-06,5.014654001570306e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
51,4.972136484866496e-06,2.1933581825578586e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
52,6.538133441790706e-06,1.1987325255176984e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
53,4.78162016661372e-06,4.452400597074302e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
54,4.5512673830671705e-06,4.857282510783989e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
55,3.6391449335496874e-06,7.624809557455592e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
56,5.65838335242006e-06,4.5260634906298944e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
57,3.548184403916821e-06,7.124845593352802e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
58,3.328533369131037e-06,5.567854375840397e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
59,3.1901721256872406e-06,2.8999740534345618e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
60,2.954145370313199e-06,0.0009336779965087771,8577,"64,64,64","6,6,6","6,6,6",64,64,64,6,6,6,6,6,6
61,0.001238666583551094,0.0001184429302229546,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
62,4.277450990048237e-05,1.66747515759198e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
63,1.3986969029792817e-05,9.202608482155483e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
64,8.560179932101165e-06,6.665442175290082e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
65,6.218161201650218e-06,7.274019761098316e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
66,5.381624298752286e-06,9.712783372378907e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
67,5.940465041203424e-06,5.414814106188714e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
68,4.745709882263327e-06,3.8038169823266797e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
69,4.115518377511762e-06,6.178113279020181e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
70,4.35084125638241e-06,9.147827615379356e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
71,3.961666407121811e-06,5.70788297773106e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
72,3.6337953970360103e-06,1.1551549316209275e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
73,5.561174652393675e-06,1.8267745632329026e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
74,7.408791840498452e-06,4.328896593506215e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
75,3.4345616440987216e-06,3.1014987089292843e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
76,3.650299240689492e-06,3.413062257095589e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
77,3.197023892425932e-06,2.93201693057199e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
78,2.9930185766716023e-06,7.3570332024246456e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
79,4.899142857084371e-06,1.3726170334848576e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
80,7.50209980760701e-06,0.009203283883631229,8577,"64,64,64","6,6,6","6,6,6",64,64,64,6,6,6,6,6,6
81,0.0010146282052737661,5.356646055588499e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
82,3.369322829239536e-05,1.687348684936296e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
83,1.408624126270297e-05,1.3619327546621207e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
84,1.3667232124134899e-05,9.227473638020456e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
85,9.395851485896856e-06,1.7114093148848043e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
86,8.927694187150337e-06,6.370060538756661e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
87,1.25250463213888e-05,7.997908614925108e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
88,1.4469650098180864e-05,9.64192976243794e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
89,2.2150173607224133e-05,1.3466929543938022e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
90,2.3547634374699557e-05,3.18557260761736e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
91,1.6249330036225728e-05,1.2338830172666348e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
92,2.6045115997840184e-05,8.75807935517514e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
93,1.846747543895617e-05,0.0003044183989986777,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
94,0.00010652162986261829,1.7976647475734352e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
95,1.1919467567349785e-05,2.1594565972918644e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
96,2.0082721560902427e-05,5.365078101021936e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
97,9.039487229892983e-06,7.642998702067416e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
98,1.153014218143653e-05,4.5694653890677725e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
99,7.403584432904608e-06,3.2834550947882234e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
100,4.151890087814536e-06,0.003291341980919242,8577,"64,64,64","6,6,6","6,6,6",64,64,64,6,6,6,6,6,6
101,0.0015035751671821345,0.00014994319702964275,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
102,7.36787085130345e-05,3.2944480830337855e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
103,2.013619033386931e-05,1.2295297237869817e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
104,1.0151717615372036e-05,1.3942659126769286e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
105,8.389277817332186e-06,1.2015753156447318e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
106,6.8864002656482625e-06,9.084499477467034e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
107,5.78497672213416e-06,5.4480593389598654e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
108,4.722299748391378e-06,9.136465712799691e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
109,4.703855396655854e-06,3.960516803999781e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
110,3.455103548549232e-06,5.505864228325663e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
111,4.019080181251411e-06,8.070034778938861e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
112,4.895001299883006e-06,3.4047655535687228e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
113,3.3795652292610612e-06,3.446101085501141e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
114,5.141233302856563e-06,4.449160365766147e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
115,3.947340556624113e-06,3.6692592184408568e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
116,4.543740575900302e-06,1.1676624344545417e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
117,7.125722789714928e-06,4.049865654451423e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
118,1.0251203637744766e-05,5.428462165582459e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
119,3.399158132378943e-05,8.06440164160449e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
120,1.4135208208244876e-05,0.013445825941860676,8577,"64,64,64","6,6,6","6,6,6",64,64,64,6,6,6,6,6,6
121,0.0023542052223114295,0.000213366063660942,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
122,8.501652763879975e-05,3.0594025563914326e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
123,2.4674896005308256e-05,1.729501920635812e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
124,1.6665342851774766e-05,1.3245917638414539e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
125,1.2335300084669143e-05,9.152852493571118e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
126,1.022416134510422e-05,8.592117592343129e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
127,9.21151258808095e-06,6.722892496327404e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
128,6.571027658355888e-06,9.971978346584364e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
129,7.971561543672578e-06,5.196658483328065e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
130,5.329285554398666e-06,8.567877965106164e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
131,6.63277136918623e-06,5.7625868830655236e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
132,6.038086363696494e-06,1.2281904542760458e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
133,5.559517216897802e-06,7.606159255374223e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
134,5.276911439432297e-06,6.4949309380608615e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
135,1.0027879836707143e-05,5.199921673920471e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
136,1.1056554627066362e-05,5.725347316911211e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
137,6.744470200283104e-06,6.2797300051897766e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
138,5.774759569612797e-06,9.79125236335676e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
139,5.706106369325426e-06,6.346933314489434e-06,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
140,5.191173085040646e-06,0.006305125951766968,8577,"64,64,64","6,6,6","6,6,6",64,64,64,6,6,6,6,6,6
141,0.0034542194963432847,0.0003329883674159646,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
142,0.00010416566448984668,3.396564442664385e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
143,2.6894902874482796e-05,2.395575525588356e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
144,1.721197480801493e-05,1.5054000192321836e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
145,1.3306812535302014e-05,1.0641081367793959e-05,8577,"64,64,64","0,0,0","0,0,0",64,64,64,0,0,0,0,0,0
